Geschlecht,measurement,statistic,value
m,SprunggelenkM1,mean,44.26086956521739
f,SprunggelenkM1,mean,51.8235294117647
m,SprunggelenkM2,mean,43.52173913043478
f,SprunggelenkM2,mean,51.544117647058826
m,Huefte.INNEN.Flexion,mean,27.565217391304348
f,Huefte.INNEN.Flexion,mean,37.4264705882353
m,Huefte.AUSSEN.Flexion,mean,42.04347826086956
f,Huefte.AUSSEN.Flexion,mean,42.220588235294116
m,Huefte.INNEN.Extension,mean,35.34782608695652
f,Huefte.INNEN.Extension,mean,46.88235294117647
m,Huefte.AUSSEN.Extension,mean,40.95652173913044
f,Huefte.AUSSEN.Extension,mean,42
m,SprunggelenkM1,sd,19.09835164544633
f,SprunggelenkM1,sd,19.332859025596807
m,SprunggelenkM2,sd,19.607210095957956
f,SprunggelenkM2,sd,19.653288679665067
m,Huefte.INNEN.Flexion,sd,11.248539650495735
f,Huefte.INNEN.Flexion,sd,11.718484157066584
m,Huefte.AUSSEN.Flexion,sd,13.309184323307669
f,Huefte.AUSSEN.Flexion,sd,9.859983331152531
m,Huefte.INNEN.Extension,sd,10.589912419812004
f,Huefte.INNEN.Extension,sd,11.416836757404175
m,Huefte.AUSSEN.Extension,sd,8.519913896649669
f,Huefte.AUSSEN.Extension,sd,9.97160146721155
m,SprunggelenkM1,median,50
f,SprunggelenkM1,median,50
m,SprunggelenkM2,median,50
f,SprunggelenkM2,median,50
m,Huefte.INNEN.Flexion,median,28
f,Huefte.INNEN.Flexion,median,38
m,Huefte.AUSSEN.Flexion,median,40
f,Huefte.AUSSEN.Flexion,median,40
m,Huefte.INNEN.Extension,median,35
f,Huefte.INNEN.Extension,median,49
m,Huefte.AUSSEN.Extension,median,45
f,Huefte.AUSSEN.Extension,median,40
m,SprunggelenkM1,min,8
f,SprunggelenkM1,min,5
m,SprunggelenkM2,min,10
f,SprunggelenkM2,min,3
m,Huefte.INNEN.Flexion,min,10
f,Huefte.INNEN.Flexion,min,10
m,Huefte.AUSSEN.Flexion,min,24
f,Huefte.AUSSEN.Flexion,min,15
m,Huefte.INNEN.Extension,min,13
f,Huefte.INNEN.Extension,min,25
m,Huefte.AUSSEN.Extension,min,25
f,Huefte.AUSSEN.Extension,min,15
m,SprunggelenkM1,max,80
f,SprunggelenkM1,max,95
m,SprunggelenkM2,max,75
f,SprunggelenkM2,max,95
m,Huefte.INNEN.Flexion,max,55
f,Huefte.INNEN.Flexion,max,66
m,Huefte.AUSSEN.Flexion,max,70
f,Huefte.AUSSEN.Flexion,max,62
m,Huefte.INNEN.Extension,max,55
f,Huefte.INNEN.Extension,max,72
m,Huefte.AUSSEN.Extension,max,55
f,Huefte.AUSSEN.Extension,max,75
m,SprunggelenkM1,IQR,21
f,SprunggelenkM1,IQR,15.75
m,SprunggelenkM2,IQR,27.5
f,SprunggelenkM2,IQR,21
m,Huefte.INNEN.Flexion,IQR,15
f,Huefte.INNEN.Flexion,IQR,15
m,Huefte.AUSSEN.Flexion,IQR,20
f,Huefte.AUSSEN.Flexion,IQR,10.5
m,Huefte.INNEN.Extension,IQR,11
f,Huefte.INNEN.Extension,IQR,16.25
m,Huefte.AUSSEN.Extension,IQR,9.5
f,Huefte.AUSSEN.Extension,IQR,11.5
